TARGET,AMOUNT GRANTED,LOAN OUTSTANDING,CYCLE,AGE,GENDER,DEPENDANTS,HOME YEARS,BUS YEARS,CASHFLOW,COLLATERAL,CF TO LOAN,MOP_PDC,MOP_WALK-IN,MARITAL STATUS,COLL TO LOAN
0.0,50000.0,1896.39,2.0,26.0,0,1.0,3.0,4.0,153047.17,70325.0,2.2409820585457982,0,1,0,1.4065
0.0,150000.0,43807.19,6.0,44.0,1,0.0,33.0,21.0,393462.25,180000.0,2.62,0,1,1,1.2
0.0,50000.0,27014.46,3.0,28.0,1,1.0,22.0,3.0,64838.41,52000.0,1.3,0,1,1,1.04
1.0,24312.58,10648.11,9.0,37.0,0,3.0,10.0,6.0,347877.28,250000.0,14.31,0,1,1,10.282742514369104
0.0,56597.52,54593.68,3.0,40.0,0,0.0,10.0,7.0,365274.28,180000.0,6.45,0,1,0,3.1803513652188298
1.0,75000.0,34210.08,10.0,34.0,1,4.0,15.0,5.0,172311.43,70325.0,2.3,0,1,0,0.9376666666666666
0.0,28310.31,19216.96,1.0,43.0,0,3.0,14.0,14.0,110542.37,140000.0,3.9,0,1,1,4.945194877767145
0.0,40000.0,13129.32,2.0,56.0,0,0.0,8.0,7.0,85326.42,100000.0,2.13,0,1,1,2.5
0.0,47645.24,41763.13,4.0,31.0,0,1.0,5.0,5.0,136205.63,70325.0,2.86,0,1,1,1.47601313373592
1.0,300000.0,108411.95,14.0,35.0,1,4.0,13.0,13.0,580284.02,200000.0,1.93,1,0,1,0.6666666666666666
0.0,80000.0,35220.84,1.0,31.0,0,1.0,10.0,5.0,153047.17,70325.0,2.2409820585457982,0,1,1,0.8790625
0.0,19473.5,13692.74,1.0,59.0,0,2.0,5.0,5.0,63772.02,70325.0,3.27,0,1,1,3.6113179448994788
1.0,40000.0,40000.0,5.0,49.0,0,1.0,7.0,5.0,81684.76,30000.0,2.04,0,1,0,0.75
1.0,51589.63,47691.18,4.0,36.0,1,1.0,9.0,3.0,162618.62,65000.0,3.15,0,1,1,1.2599431319821446
0.0,50894.66,50894.66,3.0,50.0,0,1.0,4.0,3.0,161217.14,57000.0,3.17,0,1,1,1.1199603258966657
0.0,100000.0,13946.67,2.0,41.0,0,0.0,3.0,3.0,383740.71,100000.0,3.84,1,0,0,1.0
1.0,100000.0,48649.68,3.0,44.0,0,3.0,18.0,5.0,168390.66,64500.0,1.68,0,1,1,0.645
0.0,21303.16,7009.89,2.0,54.0,0,2.0,25.0,20.0,113373.7,15000.0,5.32,0,1,1,0.7041208909851872
1.0,170000.0,170000.0,4.0,37.0,0,2.0,36.0,10.0,419997.14,300000.0,2.47,1,0,1,1.7647058823529411
0.0,150000.0,47891.26,3.0,45.0,0,2.0,18.0,18.0,348658.98,150000.0,2.32,1,0,1,1.0
1.0,140000.0,118785.89,5.0,36.0,1,1.0,5.0,5.0,318724.9,172000.0,2.28,1,0,1,1.2285714285714286
0.0,31357.08,25857.08,2.0,40.0,0,2.0,9.0,4.0,82750.32,70325.0,2.64,1,0,0,2.2427152017981267
1.0,60000.0,42204.27,4.0,31.0,0,3.0,15.0,14.0,76912.7,100000.0,1.28,1,0,1,1.6666666666666667
1.0,70000.0,18411.59,2.0,44.0,1,3.0,18.0,5.0,110397.49,200000.0,1.58,1,0,1,2.857142857142857
0.0,59887.56,45287.56,1.0,35.0,0,3.0,34.0,5.0,180501.21,360000.0,3.01,0,1,0,6.011265110817672
1.0,80000.0,21468.49,6.0,54.0,1,0.0,9.0,8.0,147606.47,0.0,1.85,1,0,0,0.0
1.0,84589.0,71771.3,5.0,41.0,1,2.0,13.0,7.0,441285.03,70325.0,5.22,1,0,1,0.831372873541477
0.0,50921.35,21662.16,5.0,42.0,0,1.0,13.0,10.0,309367.18,281666.67,6.08,0,1,1,5.531406178351516
1.0,50000.0,50000.0,1.0,37.0,0,1.0,5.0,2.0,65062.26,50000.0,1.3,1,0,0,1.0
1.0,100000.0,35972.26,4.0,32.0,0,4.0,13.0,7.0,182415.79,100000.0,1.82,1,0,1,1.0
1.0,100000.0,100000.0,1.0,46.0,0,5.0,15.0,5.0,294851.01,280000.0,2.95,1,0,1,2.8
1.0,160000.0,160000.0,6.0,35.0,0,2.0,8.0,14.0,651997.51,70325.0,4.07,1,0,1,0.43953125
1.0,72696.02,12510.88,2.0,49.0,0,4.0,27.0,10.0,333470.63,180000.0,4.59,0,1,1,2.4760640266138365
1.0,250000.0,49905.59,11.0,56.0,0,0.0,14.0,14.0,456637.48,85000.0,1.83,1,0,1,0.34
1.0,80000.0,4632.57,6.0,35.0,1,0.0,11.0,5.0,140478.58,200000.0,1.76,0,1,0,2.5
1.0,200000.0,181633.21,6.0,43.0,0,3.0,16.0,8.0,321849.0,296000.0,1.61,1,0,0,1.48
1.0,62932.6,14444.95,2.0,44.0,0,2.0,10.0,20.0,128433.0,95833.0,2.04,0,1,0,1.5227878714688412
0.0,120000.0,13885.2,3.0,38.0,0,3.0,14.0,3.0,237797.9,204000.0,1.98,1,0,1,1.7
0.0,47950.84,19519.98,2.0,31.0,1,2.0,4.0,4.0,99176.67,70325.0,2.07,0,1,1,1.4666062158660829
0.0,161185.36,151884.83,7.0,42.0,0,2.0,12.0,13.0,525972.29,135000.0,3.26,0,1,1,0.8375450475154816
1.0,100000.0,22665.99,8.0,56.0,0,2.0,28.0,21.0,185203.0,70325.0,1.85,0,1,0,0.70325
0.0,30098.66,21231.98,2.0,55.0,0,1.0,55.0,30.0,92098.62,24000.0,3.06,0,1,0,0.7973776905682844
1.0,100000.0,65106.91,7.0,43.0,1,3.0,18.0,12.0,168738.03,45000.0,1.69,0,1,1,0.45
1.0,150000.0,58933.03,9.0,57.0,0,4.0,17.0,6.0,254973.89,280000.0,1.7,0,1,1,1.8666666666666667
0.0,80628.98,80628.98,2.0,44.0,0,1.0,13.0,6.0,189933.0,121333.0,2.36,0,1,1,1.5048311413588515
0.0,91404.88,31728.96,3.0,44.0,0,2.0,10.0,5.0,153047.17,70325.0,2.2409820585457982,1,0,1,0.769379052847069
1.0,300000.0,107916.9,5.0,40.0,0,0.0,5.0,20.0,378583.92,100000.0,1.26,1,0,0,0.3333333333333333
1.0,150000.0,53958.46,2.0,47.0,0,3.0,6.0,18.0,228549.07,180000.0,1.52,1,0,1,1.2
